7response,context,context/0,context/1,context/2
 Could you check other stores for me too please?! ðŸ‘ðŸ¼ , So sorry you couldn't get your hands on one Aston! Do you want me to check any other Stores? Alice , Fleet Store... now I have to make do with regular Garlic Bread. ðŸ˜¢ , Oh dear Aston! Sorry about that. Please DM me which store this is. Thanks Kirsty ,Just went to for that REALLY strong Garlic Bread LIES! They donâ€t do them! ðŸ˜ 
 I just wish it had gone beyond this verse.... tried drowning out with a podcast but your wifi connection is worse than dialup at present ðŸ˜’ ," 1/3 Teddy bear, teddy bear, Turn around! Teddy bear, teddy bear, Touch the ground! Teddy bear, teddy bear, Jump up high! "," baa baa black sheep (well versed n that one) ad Teddy bear, teddy bear, turn around, teddy bear teddy bear touch the ground.... "," Which two songs, Matt? We can send you the lyrics and you can all have a sing song ",When your on an journey and the child behind keeps playing the same two songs on never ending loop! ðŸ˜ Yeah... that feeling! 
" This means that you'll continue breaching DND, my privacy and data. Hope that take note of this brazen disregard of rules. "," We understand your concern.But as of this is best resolution we can provide. Rgds,Mohit "," Just that ""I'll forward feedback and I assure you your concern will be fully resolved soon and & permanently. Sorry for inconvenience."" "," we understand your concern has been discussed and communicated. Regards, Prashant ","sir, any specific reason why you maybe ignoring my complaints and requests? Kindly revert. Thank you ! "
" Lo pedÃ­ por la app de amazon, pero el vendedor era externo "," Dani, el pedido Â¿fue vendido y gestionado por Amazon o fue vendido por un vendedor externo? "," Pues estoy revisando el correo y no, yo quiero saber si el pedido me llegara o no ", Me apena saber lo sucedido. Â¿Has verificado si has recibido un email indicÃ¡ndote la razÃ³n de esta situaciÃ³n? ,"buenas, el domingo realice un pedido, y se me ha cancelado no se por que, no se como arreglarlo, me podeis ayudar? "
" WatchOS 4.0 caused the problem it set Wheelchair to ""Not set"" which caused the ""Time to Stand"" app to stop working. (Info found on web) ", Problem solved information for the masses. If you are confused contact me on DM. ," We want to help get to the bottom of this. Please meet us in DM so we may gather information, and better assist. ", And cycle Watch power.... ,"""Time to Stand"" stopped working? Select Watch Icon, Select Health Icon, Set Wheelchair to ""No"". "
 Ta Iâ€ve moved and itâ€s helped. But B is a frig. , I'll make a report to our Maintenance Team to investigate as soon as possible. Jordan , No one can get through the train. Itâ€s SRO , Hello Lucy. Have you spoken to the Train Manager? They may be able to help on-board. Jordan ,turn the air con off!!! Itâ€s November. Yes youâ€ve squished two services together but itâ€s icy!! 1513 BTH to PAD coach B 
 Will any one look in to the issue , What next ????? ," to escalate your case to the HP Support Team in your region, please respond with Mailing address Country Detailed description of issue ", Don't know how many reminders require to HP team to share contact details to register complaint. ,Hi can you please share contact detail i want to register my complaint related to my laptop issue 
" hello, still no response from __email__, please can you chase this up? "," No email back yet, what was their response? Judging by other messages you have incorrectly rejected claims, what are you doing to sort? "," Yeah, I did that on the 6th, no reply, you are customer services, please chase with your team and ask them to reply. "," Hi, please email the Delay Repay team using __email__ ","hiya, DR-4132-8031 still awaiting reply/repayment following email sent 6th October, please advise? "
 So a slight improvement but already down to 50% 2pm here Iâ€d usually be on 70 / 80 % really disappointing. Only had this phone 1yr ðŸ˜” , Awesome! Let us know how it goes. , Thank you! My friend spotted this. I didn't realise it wouldn't automatically do the latest one. Thanks for replying-will do when get wifiðŸ˜€ , Hi Alice. We've released an update to 11.1. Please navigate to Settings &gt; and General &gt; and Software Update to install the update. ,Hey guys just upgraded to IOS 11.0.3 Battery drain horrendous on my 6s. NEVER seen it so bad!!! Can you please improve this..ðŸ˜” 
 11.1 ," Youâ€re very welcome. To start isolating the issue, tell us which iOS version your iPhone is on. "," iPhone is getting stuck and slow Seriously, it was fine up until a week ago. Any tips? Thanks for responding. Itâ€s not that old ðŸ˜° ", What type of issue are you having with your iPhone? We are standing by to assist. ,Odd that my has been acting crazy just when the comes out. I havenâ€t had any issues than all of a sudden....@115858 ðŸ“±ðŸ¤” 
 it is HTKL8O , Yes please. I was looked through your previous messages and thought you included it earlier. , ok thank you! Do you need confirmation , Hi Jennifer! Please allow me just few a minutes to review your reservation details and I will be right back with you. ,"Hi, I just checked in for my flight tomorrow. It says Iâ€m confirmed but on the standby list. What does that mean? Thanks. "
 I am deeply saddened by this decision. , We wanted to focus on other ingredients. , Why it was awesome , What do you mean? We removed it from the menu. ,guys what's going on with the chorizo?!?!? 
 And you don't overbook your flights? So I'm guaranteed a seat on this flight? ," Yes, you bought a seat, but if you choose not to select one in advance, we'll assign it upon arrival for free. ", And I'm guaranteed a seat on the day I travel if I don't pay for a seat assignment early? , We don't require you to pay for a seat in advance. Our airport agents will help assign one for you on the day of travel free of charge. ,Check into flight and &amp; charge u EXTRA for every seat! How is this legal? I already bought my ticket now I have to buy my seat? 
 Case REF: VTN-171002BKZY Iâ€ve had no reply via phone or emails ," The East Coast Team would be best to advise further, so we'll pass you over to them ", 03457225333 itâ€s been over a month I have a reference number from email convos but have had no update VTN 171002BKZY ," Which number are you contacting, Jay? ","can someone contact me ASAP, Iâ€ve been trying daily to contact you about compensation payments but constantly on hold "
" it's already been paid to me as a bill credit, and refunded to me, or will they send it to my bank account? Please help. "," refunded to me. But I sent the device this morning with the 'bank transfer' package I received. When you get it, will they realize... "," I obviously wouldn't have a bill anymore. I got my final bill through, and there's a Â£51.00 o2 recycle amount included that's being... "," for bill credit, but then I cancelled my phone contract. So I cancelled the recycle, and re-did it with bank transfer instead, because.. ","I think I might have screwed up regarding O2 recycle, and accidentally going to be paid twice for the same device. I originally asked... "
 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience. , I swear yall better not just send me some bullshit about visiting your help website! That shit isnt helping just want my money back thanks:) , We apologize for the trouble! Send us a DM with your email address with additional details and we'll follow up. , This company's customer support is a joke! And y'all are a complete bullshit company! I am expectin a full refund asap:) thanks for the help ,just wanted to give a shout out to y'all for charging me 150$ for a ride I didn't take:) 
 Pela Amazon ," Hellen, neste caso o pedido foi enviado pela Amazon ou por um vendedor?. "," Felizmente, nÃ£o. Mas faz eu pensar duas vezes antes de comprar de novo algo ", OlÃ¡ Hellen! Sinto muito pelo acontecido. O seu pedido chegou danificado? ,avisem pros entregadores de vocÃªs que Ã feio jogar livro na garagem dos outros quando nÃ£o tem ninguÃm em casa 
 Thanks for your time and support. No need to follow up if I create a ticket at support right? , so we can follow up on the case? Thx! 2/2 ," Yes, Mp3. Raw just brings up the default dropbox shared page; with upper right button for direct download. Tried safari and chrome. "," Hi Frank, are you referring to shared links to MP3 files? Which browser are you using, and what error do you get? Are you able to use... 1/2 ",Why arentâ€t mp3 links working on iphones anymore? either with dl=0 or dl=1. From other sites it seems to work fine. 
" Which in comparison to other network providers who provide more data, more minutes and & unlimited text on PAYG for equal/less. "," And there's only 1 extra bolt on for text, whereas data being the only one with slightly reasonable offers... "," I only ever used O2 PAYG and & I was looking at the monthly tariffs now when you top up Â£10+ Before you had unlimited text, now you don't... "," Why do you say that, Michael? ",Tonight I learnt a lot about how much o2 has changed since I was last with me as a network provider. They suck ass now lol 
 Sent. Thanks for the help. Hopefully it will all be working smoothly again soon. , Thanks for that! Can you DM us your eBay user ID? We'd like to report this to our mobile team. , Using the search I get spinning wheel icon for ages before a freeze. Using eBay v5.15.0 on IOS 11.0.3 on an Apple iPad Mini 2. ," That's certainly not normal. Is it crashing or freezing for a bit? Which phone, app version, and OS version do you have? ","Why oh why does the app freeze so often, especially when searching for new things to buy! "
" Am gleichen Tag noch, sonderlich hilfreich war es jetzt auch nicht, Paket (durch den Feiertag) immer noch nicht da, das einzig Ã¤rgerliche jetzt ist natÃ¼rlich, dass die Zustellungsdaten nicht aktualisiert werden. Seit Samstag keinerlei Infos. "," Hi, hast du dich bei uns gemeldet? Konnten wir dir eine LÃ¶sung anbieten? GruÃŸ "," in EinzelfÃ¤llen ist vÃ¶llig korrekt, aber nicht bei 4 Paketen in 2 Monaten, tut mir Leid, einmal ok, aber nicht vier Mal hintereinander! ", In EinzelfÃ¤llen kann es zu VerzÃ¶gerungen kommen. Wann war denn der geplante Liefertermin? ,"Seit wann wird bei eurem Super Unternehmen eigentlich das Zustelldatum auf ca. 24h Stunden geschÃ¤tzt, wenn das wunderbar erwartete Paket dann in diesem kleinen aber feinen (Achtung Ironie) Zeitraum nicht ankommt? Arbeitet ihr auch vernÃ¼nftig? "
" iPhone 7, iOS 11.1 ", Thanks. Which iPhone and iOS version are you using? You can check under Settings &gt; and General &gt; and About. ," Random apps, but I think I see it most frequently when I screenshot and go to share that screenshot "," Let's help get this resolved. To get started, does this happen completely at random or when using specific applications? ",Why is my phone still freezing like thatâ€s its job? 
 (2) to allow people to choose if they want to donate should be made available. ," Gemma, we have them for sale at Hackney Town Hall reception if you can't find any locally. ", why are only selected stores selling poppies? All stores should. ," Hi Gemma, thank you for your question, selected stores are selling the poppies in support for our armed forces. 1/2 ",Will be selling poppies at all? 
" no thanks. we've been through this multiple times. Never gets better, and I just end up frustrated. Not worth it anymore. "," Hi, Stephanie! Thanks for reaching out. Letâ€s get that Internet issue fixed. Please DM your full name, address, and phone number? ", Thatâ€s the beauty of having a monopoly. They donâ€t even have to to provide good service or fix problems. , Demonstrating that clearly doesn't care. ,"Dammit, Every night, 11pm, our internet cuts out. Every. Night. Super-helpful for studying. This is why monopolies are bad. "
 somebody had to say it , Shhhhh don't tell them that , dont be sad hes gay , :( ,my wife left me 
" Hi John. While there appears to be more 1st class capacity, of the 652 seats onboard a 10 car train around 89% are standard. Jordan "," Of every five coach set, one and a half are first class. That's 30% ", 15:47 Cardiff to Swansea. It is crowded but that's not the point. There's of lot of first class accommodation that's empty.. , Hi John. Sorry for the busy conditions. What service are you travelling on please? Rach ,"So much for the new trains, 10 coaches but too many are first class and empty. Hard seats but at least the colours are restful ! "
 Do I lose my trophies or saved data by doing that? , Thank you so much for the information. Please delete the application for the game and download it again. , It says gameplay recording paused due to banned scene but it is paused for the whole game. I have only noticed it with resident evil 7 , Here to help! Do you receive any error code or message? Are you having this issue with all your games? ,everytime I play resident evil 7 my ps4 says gameplay recording paused and my dual shock color turns from blue to orangehelp 
 Got it now thanks , no problem I've booked mine. Hope you get yours! ," Thanks, better informed than Tesco ðŸ‘ ", midnight if you are a saver customer apparently ,what time is your Christmas delivery slots available ? 
" Any item. I tried a Kindle fire, hair dryer, tv, all failed. "," What item are you trying to purchase or check, please? Scott "," The stock checker feature of your website is not working, so I can't order anything for collection. "," Hey, can you please provide further details and I will get this looked into for you. Charlotte ",can you fix your online stock checking feature asap please? 
 thank you ," Thank you, please allow me a few moments to look into your request. ", Wed Flt 1903 we live 20 mins from LGA; what time should we get to airport; have TSA precheck , Do you have a flight number or time? ,LGA-ATL Wed. morn; which terminal thanks Happy Holiday 
 Thanks a LOT , Appreciate your understanding. We will get this sorted at the earliest! ," OK, let me wait till tomorrow, hope that problem will be solved by then, anyway request u to keep the communication channel open, 1/2 ", Please donâ€t provide your order details as we consider them to be personal info. Our page is visible to public. ,my OD ID is 4__credit_card__ and & Tracking ID is 213112426556 It was a replacement of faulty product 
" Thanks to Ken, the technician who showed, I have all of my service restored. "," OK, please let us know how it goes. ", I have already contacted telephone support. They have someone scheduled for later this afternoon. , That's not good at all Shannon! Please follow and DM so we can continue. ,"Livid is when says theyâ€ll call when theyâ€re 30 minutes away, doesnâ€t, and then cancels your ticket. ðŸ˜¡ "
 They haven't replied yet... ," Hi Pete, the team there are our dedicated customer supporters, and will be able to quickly resolve your query ", In a better way than your dedicated customer support team can? Wow!! ," Hi Pete, our friends will be able to help you here ",why so little interest in resolving my problems with a fraudster using THREE different accounts. 25 minutes and unresolved! 
" Uncomfortable if you could get on!!! was a que to get on an already rammed train now have to wait for the 16:50, ", apologies for an obviously uncomfortably journey this is due to an earlier train fault. ," FYI The short (now only 4 car) formed 1630 is bulging. Itâ€s full, with 12 car worth of passengers Why is this train short formed pls ", There is a problem currently under investigation apologies that this service has been cancelled. you can claim for the delay ,1613 from EUS cancelled- WHY. Pls?Thatâ€s a gap of over 30mins which falls outside of the franchise 
 Thank you :) ," Hi Vanielle, I have corrected the tittle and revised itinerary has been sent to your email.Thanks-Emir ", Booking Number: TG8T6F Guest Name: Vinielle Sumang Correct Title: Ms Thank you ," Hi There, may we have the booking number, guest's name and correct title? ",Hi may i ask your assistance regarding a change in my gender in my booking detail from male to female? Thank you 
" Apple logo. Wonâ€t know itâ€s turned off till I check, then have to turn back on "," When your device randomly turns off, do you see a spinning gear on the screen? If not, does it show the Apple logo? ", 11.1 , Thanks for reaching out to us for support. Can you please tell us which version of iOS you are currently running? ,Why does the new update keep turning off and on my phone? Wasnâ€t happening till I got new update. Please tell me whatâ€s wrong 
" Hi Liam, sorry that there weren't any bags at the self service checkout. I'd like to look in to this for you. 1/2 "," Morrison's, Sainsbury's etc. simply take the hit of admin fees and donate all money raised from bags to charity. "," Customers being treat like kids. Not only that, but 10% of the bag charges are spent on administrative fees, unlike every other supermarket. "," So instead of scanning, bagging, paying and going, a supervisor has to carry a ton of bags throughout their shift and hand them out... ","So not only have abandoned 5p bags, they now don't even have the 10p ones at the self service... "
 Would mind sending your conf via DM? Thanks. , Could you actually explain what that means? That seems like a very vague answer. ," Hi, Kyle, the upgrade fees are based on the fare you paid and the current fare for the upgrade. "," Now Iâ€m told by phone, I can upgrade my entire trip, but itâ€s going to cost me more than it would to just buy the one way right now. Why? ","Booked a flight with you, one of the legs on Korean. Called and was told THEY would have to do upgrade. They say YOU have to. Help? "
 I just need service connected to my home today. I called almost two weeks ago to schedule for today based on our schedule , We are here to help if you need anything. Matt , Still no call back and I talked to several people with the same answers. ," Hey Jon, I can look into your account for you. Can you DM me your account info please? Matt ",still waiting for an answer to my recent call over 10 days ago. Iâ€ve made three calls holding over 20 30 mins 
" You want full details on here? Fine by me,not sure it will be for your customer service! ", Hi there how can we help you? , Maybe respond to the issue I raised last week and was told I would get a response within 72hrs!! , We are here! How can we help? Gary ,"Absolutely non existent customer service,still awaiting a response,won't hold my breath!!!ðŸ˜¤ "
 Yes!! Thank you!! , Looks like the rumors are true. :) ," Lincoln, Rhode Island ", What's the city and state? I can look. ,is there a way to see future locations? Thereâ€s a rumor one is going near my work and I need it to be true 
 We're only able to rebook on the next available flight. You're welcome to rebook on a flight tomorrow; a change in fare may apply. , But I can't attend the meeting online because I'll be stuck on this delayed flight. ," Sounds like you were placed on the next available flight to your destination. Still, we're sorry for your disappointment. ", They didnt give me an option. This is totally messing up my work. ,The WORST customer service ever with I missed my flight because my boarding tix printed wrong gate. ðŸ˜ 
 The email and calendar functionality in the outlook app is fine. What I mean is cortana isn't telling me when to leave for an event it can see in my calendar. , Hmm. What we meant is to contact the 3rd party email provider to check your settings. , Is that done through the cortana app? , Hi there. It is best to get in touch with their support so they can take a look at your concern accordingly. Feel free to ask if you have any clarifications. ,"Hi. I'm having issues with Google not picking up my calendar events from outlook, so trying cortana on android. Although it's picking up the calendar events I'm not getting a time to leave notification that I would have expected. Settings suggest I should "
 I'm getting my device on Tuesday. Of course you can waive the deductible. Someone there has the authority to make up for the fact that I received a totally unusable phone ," We can process a reshipment for you so you can receive another device. Unfortunately, we are not able to waive the deductible. ", I was told it was not calibrated and after some time your staff determined that my new phone was faulty. I am requesting that my $199 deductible be waived. ," Rest assured, all devices are covered under a 1 year limited warranty. Can you tell us what's going on with your replacement device? ","why should I pay my $199 ""deductible"" when I receive a malfunctioning phone from Now I wait 2 days "
" You are the only bank Iâ€ve ever heard of who doesnâ€t refund their customers their money before investigating instead you leave me with 80 cents and tell me to get a loan, are you kidding me?! This investigation better wrap up quick. "," I called for an update and to unlock my online accounts and I was told â€œour systems are down, call back laterâ€ by your reps. If this situation wasnâ€t frustrating enough you are the worst bank Iâ€ve ever encountered and your customer service sucks. ", My accounts were wiped and a few days ago your customer service staff told me I can take out a loan for my own money but until then I have to wait for an investigation- locked all my accounts and left me with nothing and no help then today ," Michelle, could you please tell me more about the experience you encountered recently in regards to fraud (no account numbers)? I want to know how I can assist you further. ","Do not EVER bank with worst customer service, worst security, worst fraud department, worst everything, I will NEVER bank with them again and I suggest you donâ€t either. "
 I contact Delta and sent them our receipts and I described the rest what we spent without it but they don't answer back.Can you contact them , I will reach out to them on your behalf. Please save any receipt of the items you have purchased during the absence of your luggage. , Thank you ," Esmerlin, do you have a file reference number? If so please follow/DM here with that number and I will see if I can get an update. ",I'm on vacation with my wife in India. My luggage has been misplaced since 9/21. It is 9/2t and and are unresponsive. 
 Thanks , Hi Terry! I am reaching out to the platinum desk. Will be with you shortly. , Is there anyone else there that can explain this ? Not getting any answers from you. ," Hi Terry! Due to your silver medallion status, your seat will not be upgraded until 1 day prior to departure. ",can someone explain to me why my seats still haven't been upgraded to first class? Within 5 days from departure and still open seats 
 Lol you think I still have Comcast? ðŸ˜‚ðŸ˜‚ trash internet ," Hey, there. I would like to help address any account concerns and change your experience with our company. Can you DM your full name, the phone number, and address linked to the account? ", Comcast def doesnâ€t care. Shitty company. , Good evening. Send me a DM with your account info so I can look into what's going on with your internet service. ,Internet died again. Gonna call Comcast tomorrow and see what's up. Like 3 weeks of never being able to do a complete stream. 
 2878 Stage Park Dr Memphis TN 901-503-1352. Iâ€ll be going to bed soon. If itâ€s like last night it will be working in the morning. , I can check your internet and cable connection. Can you DM me your address and phone number so I can take a look please? , My internet and tv cable crashed last night and tonight at 8pm. Itâ€s now 11:30 still down. , Can you tell me more about what's going on so I can help? ,220.00/mo for service thatâ€s not much better than dish. Thanks for nothing 
 What is the end of the day time ," Hi, a deposit/transfer needs to be received before the end of the same business day before an overdraft fee is incurred. ", Ok thank you , We'd be glad to look into this for you. Please allow us some time and our Social Care Team will follow up with you. ,ok so might account is currently in the negative. How long before a fee occurs? 
 I agree but have sympathy with platform staff who have to explain why people can't get on a service that isn't going anywhere with doors shut even when like sardines , Thatâ€s a systematic problem. If a train is delayed you should still close the doors at departure time otherwise as it gets later the overcrowding gets worse. You yourselves compound problems , It's more the fact that more people kept joining the already overcrowded train the longer it stood there than the actual delay itself ðŸ˜ ," Hi, I can see you departed 4 minutes late. Sorry for the delay to your journey. ",Any chance the hideously overcrowded cattle truck that is the 1831 to Epsom might actually depart? 
 5.1 ," Okay, thank you for following up with us. What OS version are you using on your Android device? "," Hi, Google Play Store app for Android ", Sorry to see you're having trouble with the app. Checked iOS here and & it's sorting correctly. Do you have an iOS or Android? ,"App glitch: sorts watching by ""ending soonest"" when selected ""recently added"" even after updated "
 I have replied to the email but Amazon customer care not refunding courier charges which they promise should report this to Jeff Bezos , Seems like I should ask money from your CEO , I have couriered the product but now courier charges are rejected by Amazon customer care. , Your customer care is not ready for return pickup.Useless customer care. ,your customer service is shit.Product is available for return till 2 Nov.But your customer care not ready to return service 
 Yes I do because it changed nothing-it was merely a call to try and appease the lies and attempts to rip off a customer in doing so! , I believe you already talked to a colleague today. Apologies if you remain unhappy with our response. , Why would someone pay business class-go through hell and lies and then want avois to spend more money for more flights and hellish flights? , Hi Katrina. Iâ€m sorry you remain disappointed with our response. ,"and more lies. Falsely advertising prices, lying on availability, poor services, over "
" Colleagues doing their jobs, no complaint about them. They've explained that it's a policy. I've ignored it 6-7 times but now tired of it ", Could you please DM those details along with descriptions of names of the colleagues in question? TY George 2/2 , Not sure why you need that kind of personal information? On top of security checking my receipt at the door for no reason... ," Hi Sasha, sorry you have had a bad experience with us. Can you DM us your full name, address and postcode? 1/2 ",why am I accosted by security heavy when I buy steak and & use self checkout or cashier forgets hidden tag? Customer not criminal 
 Appreciated but should be ok. I still have 90 minutes to get through ATL before my next flight. Thank you , I'm sorry for the inconvenience. Please let me know if you need rebooking assistance. ," Indeed. Now if my flight wasnâ€t delayed 45 minutes, weâ€d be laughing! ;) ", You are welcome! Great to see that you received stellar service. ,Ken from at YUL rocks! Well beyond customer expectations. Thank you 
 Thank you!! ," Jill, I am disappointed to hear this. Thank you for your feedback. I will share this with our airport leadership team for review. ", Right now itâ€s 2451. Not the first time the lines have been completely disregarded by those who think theyâ€re too important to stand in them , Hi Jill. Sorry to hear this. What is the flight number? ,I abhor having to line up in queue to board flights like some sort of cattle. Gate agents donâ€t enforce them anyway. 
 Confirmation has been sent. Please advise thanks! , I am truly sorry to hear about this. Please send your confirmation number in a DM. ," Hi! Yes, we are rebooked, sitting separately, downgraded from business class, and lost $$ for missing a trip day. Really disappointed ", Hi. I see that you have been rebooked. ,"Mechanical issues on plane, cant make honeymoon connection, still in Detroit, support makes us do the work. Nice Platinum service "
 Yes , I would be happy to investigate. Do you have time to chat securely through our website so I can see your account? , I need a update idk what going on ? , Hi there. Did you receive notification as to why it was not approved? ,hey itâ€s been 72 hours my credit limit hasnâ€t been increased i accidental but in the wrong income while applying for the card ? 
 Going to try calling back today ðŸ˜Š ," Sorry for the delay Collette, did you get this sorted? Jenna ", Thanks for letting me know. I'd booked into call their community champion back this afternoon ðŸ˜ž , sorry! The external numbers are down and we're working on it now. Can I help at all? Justine ,trying to call your Stone store but there's just white noise when I dial the number. Any advice? 
" It didn't work, any other suggestions? "," Disconnect your router and console from the power source for 3 minutes, reconnect them and try again. "," Sure, it says that there is a nat type issue but i recently talked in a party chat with no issues but now it suddenly doesn't work ", Sure we can help! Are you getting any error code or message? Please provide us more details about the issue ,Why doesn't it work to chat in a party with my friends? 
" I'm sorry but, I don't like my burritos CHEESYYYY!!! ", 'Cause they tend to spill the beans! , Why???ðŸ§ , Why can't you trust burritos? ,"My group and I are working on a project to see how effective your page is, can you reply with something funny "
 Do I Dm you guys or something? , You're welcome! ," Thank you, I locked my card so no one could get into my accounts. ", Thanks for reaching out. We are researching your concerns and will follow up with you. ,"hi my bank card was stolen yesterday, and Iâ€m trying to get a replacement. "
" I just want you to tell me and & others who have check in hand, they can resolve issue at your branch! Make it out now!! ", We sincerely value your feedback and will continue to explore ways to improve our customer experience going forward. ," I hope I did it online. Still, I had check in my possession, why couldn't I just cancel it at my branch? They said they couldn't that wrong, ", Have you been able to speak with someone? We'd like to help if you need us. ,"ON HOLD to stop pymt on check. I have check, Why do I have to wait ON HOLD for 10 minutes instead of doing this at branch? "
 09055467734. Osborne foreshore estate ikoyi. This is the third time in a week I'm complaining. ," We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO. ", Your network keeps fluctuating on my phone. Sometimes the network totally disappears. , We apologize for any inconvenience you may have experienced. Please describe the exact difficulty. Thank you. UO. ,your network is worrisome. What's going on? 
 That should do. ," I get your disappointment, Jenny. As mentioned earlier, I will forward your feedback to our team internally for a review. "," Over 50 orders. More than a hundred books. Not a single free bookmark. I'm heartbroken, Amazon! :( ", to provide a better shopping experience. (3/3) ,"Ok let's get it sorted today. I've bought over a 100 books from u, never received a single free bookmark. ðŸ˜¢ Mujhe Insaf chaiye! ðŸ˜¢ "
 yesterday 31st at 09:30 ," This may have been the case at the time, do you know when she visited the store? 1/2 ", then why did they say to my elderly mum it was not and then said their store phone was not working so they could not call her a taxi ? ," Hi Matt, I've checked with the store and they've said it is working. Ty Marian ",can you tell me if your taxi and store phones are working in Dunstable Extra ? 
 So... what does that mean though? Lol. Why would the flights still be listed on app and on the site. , I am sorry for any inconvenience. , The flight Iâ€m trying to book has been listed on there for the past two days though , Hi. I'm sorry this has happened. Fares are subject to availability and can change at any time prior to ticketing. ,"Why am I getting ""Uh-oh! We're sorry, but the award redemption level for the flights you selected is no longer available. "
" Thank you... no snacks marked as gf on this flight menu, cheese plate is fine. Merely giving feedback as a soon to be plat pro freq flyer! ", The menu on board states what snacks are gluten free. We also suggest the trail mix or fruit and cheese plate but share the crackers. ," Yes, but the crackers have wheat flour now, they used to be gluten free "," We do offer hummus for purchase, Darcy. We're always looking to improve our choices and quality in food selection. ",no gluten free options avail for purchase? Yikes. Any plans to take another look at food options? 
 I'm in Hong Kong now and it didn't ask me to purchase data. It sent a text saying it's 3-cents/MB please advise , You're welcome. Do have a good day and thank you for choosing Sprint. :) , I arrive Saturday. I'll await the message on my phone then. Thanks for clarifying! ," Are you currently at this location or thinking of visiting? When you arrive, you are greeted with a message with these options. JF ",How do you activate the 7-day speed pass while abroad in Thailand? 
 office access to find the failed payment/booking cannot be dealt with quickly over the phone shame your online people are hopeless , Have you called the Aftersales team directly on this issue? They'd be best placed to assist on 03445565650 , your online team (Vijay Kumar Pushpala) continue to display at total lack of competence you've taken my money / but not given me my booking , Can you provide a little more information? ,your hopeless online support still can't deal with the fact that they've effectively stolen my money 
 I could try it on a pc i haven't try that , Are you accessing the redemption site using Chrome on a PC? , It keeps thanking me for pre ordering infinite warfare. Lol , Hey. When and where did you pre-order and what trouble are you coming across? ,"i having trouble redeeming my pre order bonuses. Please help, running out of time "
 The chrome on my phone , Are you accessing the redemption site using Chrome on a PC? , It keeps thanking me for pre ordering infinite warfare. Lol , Hey. When and where did you pre-order and what trouble are you coming across? ,"i having trouble redeeming my pre order bonuses. Please help, running out of time "
 More worthless info from It was MY credit card that was charged! And you want to speak to the recipient? smh Never mind. I'm done with this. ," Hi, we have followed up with your DM. ", I did send a DM and all you do is point me to your worthless help page on how to use a 'gift' credit? We already know how to do that but we can't use a gift that has not be sent! Done wasting time. I'll take it up w/ protest charge , We're sorry to hear this. Can you please send us a DM of your email address so we can look into this? ,drivers may be fast but itself is slow as molasses in January about applying a gift I sent to my son. How many hours does it take? Geesh! 
 But surely a company of your magnitude has the foresight to put more carriages on at peak times , I am sorry for the busy train this evening. All stock is being utilised across the network. Jordan ," Bath spa to Weymouth 17.08, easily 300 people trying to get onto 3 carriages "," Which service are you referring to please, Luke? Jordan ",3 carriages from Bath on the first shopping day of December mixed in with incredibly rude members of staff sound 
 Great. Where do I find out if you've met your targets? , We would offer a renewal discount if punctuality and/ or reliability targets are not met. Jordan , An annual season ticket. , Hello Poppy. What type of Season Ticket do you hold please? Jordan ,How do you claim compensation for delays/cancellations when you have a season ticket? 1717 from BRI to WSM cancelled again. 
 Verizon said the charge was rejected and I needed to update payment info. I did so but don't know if that delays shipment. We'll see I guess , Have you called for help? We'd like to help if you need us. ," Yet the one time there was actual fraud, you missed it until I told you about it (to be fair: you fixed it quickly). Sheesh. ", And I'm sure that you didn't have a single other customer purchase something for the exact same amount at the same time. ,"Oh hey thanks for flagging my order charge. You're right, I never ever send them money every month. "
 Have dmd ðŸ˜Š , Did you do the suggestions I provided? How are you accessing the site to print the label? DM us if you need more room. , Iâ€ve just clicked the link from the email you sent and it opens in a safari page saying technical error??? , Thatâ€s weird! Have you tried clearing your cache and cookies or using a different browser? ,hi Iâ€ve got to return an item but I canâ€t seem to print my return label you emailed me. When I click the link it says error 
 In every app except iMessage ," Does this only happen in one specific App, or multiple Apps? ", 11.1 , We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; and General &gt; and About for the version. ,what is this??? Iï¸ ðŸ¤¬ 
 Tq , date of birth is stated as 29 Apr 1991 , For confirmation can you check whether the birthday dates entered is correct? For passenger nurfarhana it is on 29/4/1991 and for nur faqihah it is on 5/1/1997 Tq ," Hi there, don't worry.It's doesn't affect you from boarding as long as your date of birth is correct,then it should be fine.JM ",hi AA! Should the booking be made to include â€œbintiâ€ in the passengerâ€s name? I have made a booking under booking number NNB5MG but didnt include â€œbintiâ€ as per what in my pasport. Should any changes be made? Tq 
 i updated my computer software which logged me out of microsoft office and now i can't log in , We want to resolve this for you. Were there any changes made to your device prior to this issue? , personal ," Pardon us for the late reply, Lindsey. To clarify, are you using a Personal or a Business account? ",you told me to dm then never helped me 
 Lastly I e-mailed you 3 days ago no reply Not good enough ," I can see you have been earned points on the 2/11 and and 31/10 , so sorry if you were told there is an issue. ", 982__credit_card__ is there a problem ? , and I'll take a look at your account for you. Thanks Kirsty ,why arenâ€t you telling customers there is a problem with their more cards not receiving their points after shopping 
