7response,context,context/0,context/1,context/2,context/3,context/4,context/5
" Hola, gracias por tu opiniÃ³n, lo tomaremos como feedback para futuras actualizaciones. Saludos y sigue en marcha ",zonas cardiacas en NTC en vivo? SerÃ­a excelente... Para marcar ritmo en base a objetivos... , , , , , , 
 No y ahora se ha eliminado mi Ãºltima carrera del dÃ­a de hoy ðŸ˜“ ," Vamos a ayudarte. Prueba a desisntala la App, limpia cache y cookies, resetea el telÃfono y reinstala la App. Â¿Funciona? ",tengo activados los comentarios para el X y pero durante la carrera no me los da..ðŸ¤·ðŸ½â€â€ï¸ , , , , , 
 Iâ€m also having issues with my iPad. The battery has suddenly decided to lose 75% from a full charge ,The amount of issues with my iPhone now since update is a joke. clearly making old handsets obsolete on purpose. , , , , , , 
 oh dear still not co-oping with iCloud in ios11.1 really really poor show. ,oh dear still not co-oping with iCloud in ios11.1 really really poor show. , , , , , , 
" Yes, I able to :) ", Are you able to connect when using Wi-Fi? Are you able to make and take calls? ," If I open Safari, for example, a message appears which says that there is no internet connection. ", We can help you. Could you tell us what happens when you try to connect to the Internet? Do you get an error message? ,"Hi! Although I have full coverage, even with LTE, on my iPhone, I canâ€t connect to the internet. Can you help me? ", , , 
 Thank you for letting me know. ," Hey there! Depending on your bank, it can take 3-5 business days to reflect in your account. We hope this helps. ","I got refunded for an in app purchase on Monday and & got a conformation email, but thereâ€s no sign of it in my account yet... ", , , , , 
" 7 Plus, iOS 11.1 ", We'd be happy to see how we can help. Which device and OS version are you experiencing this on? ,These question mark boxes are about to make me mad lol please help , , , , , 
 My screen is all messed up. Wonâ€t let me type right ,This new update sucks! Iâ€m not getting any texts in group chats and itâ€s terribly slow! , , , , , , 
 please check your DMs , We're here for you. Tell us what's happening with your iPhone 7 Plus. ,hi thereâ€s a bug with my iPhone 7 Plus! SOS send help. ðŸ†˜ðŸ“±ðŸ¤• , , , , , 
 Well if you find out how to resolve it please let me know ðŸ˜ can you help us no I know Iâ€ll stick with apple haha ," Mine just goes onto a black screen with the restart sign then just locks, haha you still wont change from a Iphone though Lindsey will you ", Thatâ€s exactly what happens to mine :( theyâ€re legit just designed to last 2 years itâ€s bs , Mines doing the same keeps looking like its gonna restart then just freezing and locking like 3/4 times a day ðŸ˜¤ ,My iPhone is completely fkd keeps freezing and restarting anyone know any quick fixes ðŸ˜ , , , 
 We were able to follow up with you via DM. Please get back to us there if you have any questions. ,beware uber defends there crazy drivers AFTER they email me with credits ?? geeze i'm trying to move on with my day !! , , , , , , 
 many thanks! have been a saver customer for years now. Are you delivering Xmas Eve? , 26th November is the date delivery saver customers can book slots up to and including 23rd December. Thanks Jennifer ,have I missed when Xmas slots are open for delivery saver folks? , , , , , 
 Hi Lauren. SkyClub access requires a membership. ,So remind me why I should make you my primary airline when once again Iâ€m turned away from the lounge at as platinum? , , , , , , 
" How does over booking and & then lying 2 high paying Customers,keep fares low?ur customer care was appalling!You can't fix everything with comp "," Hi Russ, while most airlines overbook flights to keep fares as low as possible, it's disappointing to hear that we misjudged the numbers 1/2 ","awful service u give! LHR/DEN over booked,passed from pillar 2 post.Lack of C care ""every airline does it"" ", , , , , 
" We're very sorry to hear this, Neil. Have the school been in touch with us to discuss alternative rebooking options? ",Shame on you my 14 year old son on a school trip but has to come back a day early due to the flight being cancelled , , , , , , 
 I need your marketing team to work with your dev team to give me an option to disable push notifications , Let me partner you with our Verizon Wireless team ,how many times in a fucking hour can your shitty cloud service ads appear on my phone. It's a terrible cloud service , , , , , 
 We need to isolate your wireless equipment. Can you please contact us at when you are at the premise? ," I donâ€t have access to my router right now, but usually the earth looking icon is lit white ", Does your router have two white lights on it? ," Ive rebooted on multiple occasions. Itâ€s never been this bad, just a month ago it started acting up though I expected it to return ", That sounds like you might be getting some wireless interference. Have you tried to reboot the router yet? ,I pay for 150mbps but I get 1.72mbps unless Iâ€m directly next to the router. , , 
" We apologise, this is a mistake on our website and is currently being updated. ", Like Great British this and that on TV part of cultural onslaught with union jacks everywhere that is what happens to colonies , Whatâ€s to be gained? Are they saying Scotland is somehow a tainted brand even on its top products? ,on website Marks and Spencer promoted 'English' or 'British' whisky â€” but refused to use 'Scottish' , , , , 
 Via post! Order number was 301-0007308-7227994. Thanks so much! They cost about Â£300 so a bit gutted :( ," Oh no Kate, sorry to hear this. Did you return the shoes via post or to one of our stores? ", Can you help at all? ,Hi M&am I've done something really stupid. I think I've left my orthotics in some shoes I've returnedðŸ˜– Can you help at all? , , , , 
 Today the whole time Iâ€ve been online from 12pm-3pm , Thank you and when would you say the last time you experienced this was? ," Every game mode, Iâ€m in the Midwest region and my psn is JoshWard23 "," Thanks for the information. Which game modes does this happen after, what's your region and what is your PSN ID? ", PS4 and yes in a party with atleast 3-4 people ," Hi. What platform are you on and are you in a party when this happens? If so, how many players (including yourself)? ",FIX BLACK SCREEN AFTER LEAVING A LOBBY GLITCH , 
 I travel 70+ nights a year and & would have been a top user if you'd had a better system in place to review accounts. ,hey your customer service sucks! Someone hacked my account and because of it you permanently deactivated it. , , , , , , 
" If this was confirmed at the time you placed your order, this will be the timescale ðŸ‘ "," I was hoping it come earlier :) canâ€t wait for it, I ordered it on release date but afternoon time so missed the earlier time, up to 4 weeks isnâ€t too bad, all I wanna know is will it be any longer than 4? "," There's always a chance Elliot, this would depend on stock levels ðŸ¤ž You'll receive a notification when it's been dispatched. ",is there a chance the iPhone x could be delivered earlier than the estimate delivery date they give? Mine said up to 4 weeks so am I guaranteed it before 4 weeks or maybe even after? , , , , 
 Trying to use their App to check in but says I need an account? Won't accept my virgin details. , Sorry for any disappointment Shane. You need to check in on the Delta site with your existing booking reference ,"Hi. You've changed my flight from virgin to delta. Where do I check in online? 1st time virgin flyer, seems a shambles!! ", , , , , 
 We do have an issue at the moment i'm afraid Elliot but if you try later this should be working fine ,Hey is there a issue with the app it keeps crashing and not letting me check in for my flight tomorrow? , , , , , , 
 So what will happen now that the person has withdrawn the money on the other side? Will I get it back eventually? , You can be using the Hakikisha service to cancel the wrong transactions before initiating them ," How can you assist me? I do not own a smart phone I am currently using my friends phone, which also doesn't have the app. ", The reversal declined due to insufficient funds.Use the MySafaricom App to cancel wrong transactions before initiating them^TT , LJV9XQWF1R ,Please assist me with an Mpesa reversal. I contacted you yesterday but till now i haven't received the money back. , , 
 Moth? ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£ , Oh no!! We hope your moth's cooled down now! ,"Thank you steak bake, I didn't like my mouth anyway That mother f_â‚¬$@â‚¬ was Hot ", , , , , 
 Next Thursday ðŸ˜¬ðŸ˜¬ðŸ˜¬ ,can you tell me the exact date youâ€re selling your little pockets of heaven (festive bakes) x , , , , , , 
" Just the staff never know the buttons to press on the till, look at me like Iâ€m trying to pay with foreign coins, clearly itâ€s too complex ", We have been having some issues but it should all be sorted now. What happened? ,Why is it Greggs in Ware find it so difficult to accept payment by â€˜Appâ€? 60% of the time I give up and pay by card! , , , , , 
 Look like your website is down now ðŸ˜Ÿ ," If you were finalising strike timetable on 25th oct, presumably you have it finalised now? Where can I see it please? ","If pointless strike goes ahead, what level of service will SWR run in those days? ", , , , , 
" Hello, sorry for the trouble caused, reqeust you to share exact issue so we can assist you further. Rgrds,Sanket. ",One more forgery by this time with prepaid no. 9608555559 fake commitment by customer care , , , , , , 
" Do you know if it's been fixed, or will my flight get delayed even more? ", Apologies for the continued disappointment. We're experiencing a mechanical challenge with your aircraft and this has caused an upline delay. Feel free to DM your confirmation number once your travel is complete for follow up. , That doesn't help the fact that we now have to deal with our 1 year old's schedule being totally screwed up. What's the reason for the delay for flight 6035 TPA-&gt;IND? ," We know delays are frustrating and apologize for any frustration caused, Danny. We hope to make up some time so we can get you on your way later today. ","Never a good sign when your flight is already delayed 2.5 hours, 8 hours before scheduled departure... That tells me it's just poor scheduling. ", , , 
 The Citi double cash card , Most of our cards have access to a virtual account#s. Which card were u interested in? I'd be happy to see if eligible. ,Hello I am planning to open up a citi credit card. Which card supports the vcc feature u guys have? , , , , , 
 2/2 an update Lauren ,on you app it says I can order the big L.O.L suprise instore tho I tried to do this today and they said I canâ€t , , , , , , 
 So sorry for the delayed response Danny! Are you able to send us a DM to tell us more? ,"Just got a take away via drive thru and got home to see that 1 order was wrong and both of the drinks were not even fizzy, no condiments either. Happens everytime with drive thru. Awful service ", , , , , , 
" Hello, I need a mew motherboard for this Dell XPS 8500. I guess my question is, will installing a new motherboard mess up my window? "," Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 ",Is there a email address I can email to tech support? , , , , , 
 activate windows after the Motherboard is replaced as the windows product key is embedded on the motherboard. You may (2) ," Hello, I need a mew motherboard for this Dell XPS 8500. I guess my question is, will installing a new motherboard mess up my window? "," Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 ",Is there a email address I can email to tech support? , , , , 
 have to what? ," Hi Mark, Thank you for reaching out to us. Changing the Motherboard will not affect windows. However, you may have to (1) "," Hello, I need a mew motherboard for this Dell XPS 8500. I guess my question is, will installing a new motherboard mess up my window? "," Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 ",Is there a email address I can email to tech support? , , , 
" Hi Kelly, we've replied your DM. Check it out. Thanks. ",, , , , , , 
" De nada. Caso precisar de informaÃ§Ã£o adicional, Ã sÃ³ perguntar ðŸ˜‰ ", Muito obrigada de verdade ," OlÃ¡, no momento nÃ£o temos esta informaÃ§Ã£o, mas fique de olho no site e midias socias para mais novidades. â¤ ","Bom dia, gostaria de saber se o livro da a vida sem filtro vai estÃ¡ Ã venda em Portugal?! ", , , , 
 SAME ,I go to send one text and my phone battery went from 56% to 38% ??? It has also dropped to 32% while typing this tweet. , , , , , , 
 yea same here idk what's wrong ,"Can you help me update to iOS 11.1 it says ""verifying update"" and then error every time I try to install it. ", , , , , , 
 Mmmmm any word? What is going on? , 11.0.3 , We'd be more than happy to look into this with you. What version of iOS are you using and are your apps up-to-date? ,What Is going on with the it is very unresponsive and has a lot of lag and , , , , 
 Have you had problems with your iOS 11? My phoneâ€s been basically destroyed since I updated a few weeks back ,"Iâ€ve gone through so many steps with Apple on the phone about this â€œIï¸â€ situation and its still happening. And itâ€s not just me. WHAT GIVES, ", , , , , , 
 Weâ€d like to get this issue resolved. Meet us in DM if you'd like to continue. ,RT If you are having issues with you iPhone not typing the letter â€˜Iâ€ correctly. needs to see the impact of this BS ðŸ¤¬ðŸ˜¤ , , , , , , 
 Iâ€m having the same issue has anyone helped? ,RT If you are having issues with you iPhone not typing the letter â€˜Iâ€ correctly. needs to see the impact of this BS ðŸ¤¬ðŸ˜¤ , , , , , , 
" So I thought Apple still doesnâ€t allow to use NFC for headphones or speakers, but only for NFC â€œtagsâ€. ", the apps recognized my Bluetooth device but nothing happened or an error just happened. They recognized it as a NFC device though. ," I can pair my Android with my Bluetooth device using NFC, but nothing happens when I touch my iPhone on it. I installed some NFC apps and ", Great question. That should work fine. Are you having any issues there? ,Canâ€t an iPhone 8 connect to a Bluetooth device using NFC? , , , 
 Yes to the point where I cannot even reset my phone or use the home button. It completely freezes or stutters. And my phone is brand new. , We want you to enjoy using your iPhone. Does the iPhone become unresponsive when using certain apps? ,"fix my phone, just bc yâ€all got a new phone out doesnâ€t mean everyoneâ€s 7+ needs to freeze constantly and shit. ", , , , , 
 Hi Abigail! Please DM us your perks email so we can take a look into this for you. Thanks! ,I got an error message in the app on Monday. Said order incomplete. Was still charged. Can you help? , , , , , , 
" Hi, thanks for taking the time to contact us. Can you please DM me your name, address and order number? Thanks. Arif ","hiya, I pre-ordered call of duty ww2, will I be able to pick it up in store at the midnight release? Or will It be delivered? ", , , , , , 
" I received your service address, therefore, I will continue our discussion in private. ", Sent. ," the name (your name), service address, and phone number linked to the account so I can better assist you. ",can you guys help me? DM please. , , , , 
" of address and postcode for data protection, as well as your questions. 3/3 ","Hey I have questions on my exec club profile and combining avios, what email can I use to contact you as itâ€s not clear? ", , , , , , 
 Current flight is AA469. Original flight was 2085 , What's your flight number this morning? We'll take a look. ,Seriously What is up with the delays at ATL? My first flight is delayed 3.5 hours and now the new flight is delayed , , , , , 
" And, colleagues' flight scheduled at 6:30 left 8 minutes late, not 1 hour late with same LAX issue. Poor execution. "," Thx for update, but ground crew should have announced situation prior to boarding to allow folks to purchase food prior to flight if that was required for departure. ", We currently have an estimated departure time of 7a out of LAX. It shouldn't be too long for us to get in the air. Thanks for your patience. ,"we are now deplaning. We're told to bring boarding pass, except AA website is down and now can't retrieve mobile pass.#AA292 ", , , , 
 I had to go to Admiral club to get me back on the flight that I was taken off. , why was my flight cancelled? Did I do something wrong by highlighting an issue? ,Flight delayed even though you knew your catering service had food contamination identified last night. Very sad. , , , , , 
" Hi Mattie, I've chased this up with our Buyer, we'll be back in touch as soon as we get a response. :) Kirsty ", When will I get a response please? , Hiya! I have sent an email to our buyer who will look into this for you. Lauren ,petts Not 1 can of tuna in your Petts Wood shop is pole and line caught. Why is this please? , , , , 
 I appreciate there are certain factors involved but when the pack size is reduced but the price stays the same itâ€s a slightly bitter pill , Prices will go up and down depending on a number of factors but weâ€ll always aim to give our customers value for money. Steven ,Hey whatâ€s with keeping the same price on your breakfast bars despite the reduction in size? Thatâ€s a bit naughty... , , , , , 
 Where have the trolley nuts gone? Yesterday there were sandwiches...today...zip. , A catering service is expected to be aboard this afternoon. Have you visited the Express Cafe? Jordan , 13.13 Stroud to London Paddington. , Hi there Phil. Apologies for this. Which train are you on please? Josh ,"no more nuts in 1st, no sandwiches, no explanation.....whatâ€s going on? ", , , 
 The service departed late due to the train crew being delayed in earlier disruption which the emergency services attended to. Jordan , Thanks for the update. Any reason for the delay? , It has just left Weymouth now and is expected at Dorchester West at 13:58. Lewis , Thank you , Hi Tim. Sorry for the delay. It hasn't left Weymouth yet. I'll try and get an updated ETA now. Lewis ,Can you let me know what is happening with the 13.23 train from Dorchester West to Bristol Temple Meads. , , 
 I'm using an iPhone 7 Plus and that's where I'm seeing the issue. , That's not good at all! Are you having the same experience with the app on all devices Jess? ," Residential. I got it to work on Firefox, but have uninstalled and reinstalled my app and it's still not working. Hasn't worked in a while. "," Not that we're aware of, Jess. Is this for your cellular or residential service? ",is your site and & app down again? Trying to pay my bill and am getting a blank screen on Chrome and app won't pass home screen! , , , 
 What has you wanting to leave us. Monica? Let us help turn things around for you. ,Cannot wait until I cut ties with , , , , , , 
" You can pm me for more details if you would like. I did get someone this morning who escalated to ""level 3"" and appears to know more... ", What happened and how can we make it right? ,has some of the worst business internet support/resolution I have experienced in the industry... , , , , , 
 Problem resolved thanks to BoAâ€s Dave from Delaware ,My automated transfer from one BoA account to another was canceled. Can't reinstate without paying a monthly $3 fee. Please help? , , , , , , 
" Thank you! i have followed the proceedure and also reported the item, hopefully i'll get a reply from them soon. "," Sorry to hear this Mel, I sent a reply to your other Tweet about how to proceed. Thanks! ",help! i have been sent a fake item by a seller , , , , , 
 Thanks , Excellent question and Iâ€m glad you asked. Accept it and use the Return label. That way it tracks correctly. ,"If seller accepts return before item is delivered, can buyer refuse delivery, or should he accept and send back using return label? ", , , , , 
 Ok sent ," could you provide your email address, postcode and full name on account in an DM so that I can have a look, please?Charlotte ",check DM please , , , , , 
 Joking aside...Pre-orders will be delivered from 3 Nov. You'll receive a notification when yours has been dispatched ,can i have my iphone x now pleasssseeeeee , , , , , , 
 We'll be in touch as soon as it's dispatched ðŸ˜‰ ," Got my order confirmation at 7:50am Friday, think ill get it on the 3rd? ", Joking aside...Pre-orders will be delivered from 3 Nov. You'll receive a notification when yours has been dispatched ,can i have my iphone x now pleasssseeeeee , , , , 
 Our cable and internet are both down , We don't want you to feel that way. What issue are you having with the service? ,YALL SUCK MAN , , , , , 
 The code is LF. , You can find this on National Rail or let me know the restriction code from the ticket (a two character alpha-numerical code) ,"Hiya, can you tell me what times I can use my super off-peak ticket from Liverpool to London today? ", , , , , 
" Hello, Thanks for your tweet Jez but I am afraid it isn't possible to reserve seats on our services ",travelling from Bham new street to Lpool on 20/11Tickets booked part of 50th celebration so have alcohol. Can we res table? , , , , , , 
 Thanks for ur response. ,We've called him and advised. , , , , , , 
" Request you to co-ordinate with the person whom you are calling to check on Airtel for the same. Rgds, Yogita "," Yes, specifically Airtel cellular network and not their landline and nor on Vodafone. It's happening since yesterday. "," Please confirm that you are facing this issue only on Airtel numbers or on other networks also. Rgds, Yogita ",Hey you guys why the hell can't I make calls on cell phones? You want me to get stuck in an emergency? , , , , 
 not available at my nearby distro center.. Says it comes today. Kinda horrible delivery times. , I'm sorry we missed our mark. Did you receive an e-mail about a delay? Have you called to report this? ,"Amazon didn't even ship my in stock tools, until 11 days after I ordered. 9 days after it was promised to arrive. Wtf ", , , , , 
 I'm sorry we missed our mark. Did you receive an e-mail about a delay? Have you called to report this? ,"Amazon didn't even ship my in stock tools, until 11 days after I ordered. 9 days after it was promised to arrive. Wtf ", , , , , , 
" Hi, sorry, can you tell us a bit more about the issue you're facing? ",Kindle Unlimited website and android app down?? Any ETA on fix? , , , , , , 
" Hi, sorry to hear that, can you send us a link to the item you're referring to? ","Why is there a box that says I can pre-order Songs of Experience and listen to 2 songs but I click and & it says ""not found""? ", , , , , , 
 11.1 , We'd love to help figure this out with you today. Which iOS version are you using under Settings &gt; and General &gt; and About? ,Can you fix this ðŸ‘‰ðŸ¼Iï¸m , , , , , 
 Apple music in control center doesnâ€t show the song name and i canâ€t change the song or anything. ," We want you to be able to enjoy your iPhone. Give us some details on what youâ€re noticing, and & weâ€ll do all we can to help out. ",Why did iOS 11 absolutely cripple my phone? , , , , , 
 iphone 7 and 11.0.3 , Which iPhone and iOS 11 version are you using? ," Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i canâ€t get service without restart "," We want you to be able to enjoy your iPhone. Give us some details on what youâ€re noticing, and & weâ€ll do all we can to help out. ",Why did iOS 11 absolutely cripple my phone? , , , 
" Too laggy and i think 11.1 more laggy for old iphone and worst when low battery, i very miss the all days on 10. ", What kind of issues are you having with the iOS? We'd love to help. ,"Now i feel so tired with iOS 11,i think better days just only in old iOS before 11.Too many bug,lag,poor battery.Sorry and & Goodbye iOS. ", , , , , 
" That's not good! We want to get your iPhone working smoothly too, especially while you travel. Which iOS version is installed? ",Thank you for making my iPhone 7 freeze every 5 seconds while Iâ€m lost in a foreign country fucking great , , , , , , 
 iPhone 6 and I gotta twist it to work , Let's get you back up and & running! Can you let us know which type of iPhone you're using and & what exactly is happening with that port? ,"Iâ€m starting to get frustrated with the iPhone lightening port, Iâ€ve cleaned it , Iâ€ve tried different wires ", , , , , 
 What is the email? Isnt there a number i can contact?? ," Please send us specific details of your concern together with your email address, so we can better assist you. ",I need to speak to someone because this is a serious issue that getting out of hand and im pissed off , , , , , 
 Sorted now ðŸ‘ðŸ¿ turns out when someone uses it on my laptop it changes my phone too ðŸˆ ," Hey Paul. Can you tell us more about what's happening? What device, operating system, and Spotify version are you on? /AY ",Is anyone else having issues with not playing what you want? , , , , , 
 I said I fixed it.thanks. ," Hey there, help's here. Just to check, were you able to get your playlists set up like you want? Keep us in the loop /MQ ",never mind I fixed it. , , , , , 
 If you could not give me resolution on a 2-hour phone call Iâ€m not wasting any more of my life dealing with ," Hey Cassandra, sorry to hear you had these troubles. Can you please send us a DM with your acct info? Matt ",I have never in my life had worse service than what I had from today. So glad I cut the cord. , , , , , 
" That's just how we celebrate a Wednesday afternoon, Dan, nothing to worry about. ","That's the THIRD load of pots I've heard smash in the kitchen of the 1st lounge in T5. Quicker than washing up, I guess!!! ", , , , , , 
 We know it's important to get you where you need to be. We're truly sorry for the change to your plans. , It has happened every time Iâ€ve flown with them ,Going to miss a full day of vaca for my brothers wedding b/c the plane had maintenance problems. Wonâ€t be taking American again , , , , , 
" I understand and would like to help. If you change your mind, please contact us so that we can assist further. ", Screw you Spectrum lackey! I hate Spectrum even more than I hated Time Warner. Your policies are anti consumer!!! , My apologies for the service interruption. Please follow/DM your service phone number and I would be happy to look into this for you. ,"I hate Spectrum!! Internet is down, no phone and no credit! They suck!!! ", , , , 
" I do apologize. For a cable line to be buried, it can take 7-10 business days for this to be completed. ","you guy has a cable running thru MY yard to the guys next door for 2 days now,I need to mow! It's from a box with 4 on it.. ", , , , , , 
 8184154278 is our number. Address 5123 Babcock , My apologies for the service interruption. Please follow/DM your service phone number and I would be happy to look into this for you. , Weâ€re in 91607 and have had no internet service since about midnight. Help! ,yet another outage by spectrum in 91607. I really do miss TWC , , , , 
 Of course! It was Flight 278 CLE to MDW at 8:25 AM EST. A really great crew to fly with for a short flight! ,The pilot on my flight bid us farewell with â€œMay the force be w/ youâ€. , , , , , , 
" (Before Iâ€d just seen photos and those Famous Five ads, still looks good in person) ","This trip has given me a chance to see the new green-and-silver livery up close. I really like it, looks super classy. ðŸ‘Œ ", , , , , , 
" Agents who speak clearly and & know what they're talking about. Just ONE thing that doesn't have extra fees. Contracts that don't require a legal degree to understand. When there's a screwup, YOU call ME back. ", We do apologize for your bad experience. How can we assist you? ,"In this day and age, why does still treat customers like we're nothing but a bother? I loathe every single interaction I have with them. Never ends well. ", , , , , 
 Can I go to a food store? ," Oh no! We're sorry about this, Sarah :( Pop your packaging and tights to store and our team will help further :) Thanks ",2 days in a row new pairs of tights have split at the toe! ðŸ˜’maybe I have piranha feet? , , , , , 
" We apologise, this is a mistake on our website and is currently being updated. ",can it be true that M&a no longer sell Scotch Whisky? , , , , , , 
" As CEO, maybe you could explain why you use third party insurance company that totally scams users and is completely non-transparent? ","Join me, T-Mobileâ€s CEO, because I donâ€t think any other CEOs even know how to use Twitter, let alone offer you free stuff on it! ðŸŽ‰ ", , , , , , 
 Thank you DMing now ," Hi Jamie, we are sorry to hear you got confused. Could you please DM us your reservation code for us to take a look at this. Thank you. ","Made booking via app accidentally. Cancelled immediately but still charged, host ignoring me pls help ", , , , , 
 Its been more than 24hrs.from date 25/10/2017 till to date...nothing has happen ,"Hi, if you have forgotten your M-pesa pin please get in touch with us 24 hours after the sim replacement.^WW ", , , , , , 
 so cant send the same to the provided email? , To get M-Pesa Mini Statement dial &gt;My and M-Pesa Information&gt;M-Pesa Statement&gt;Mini Statement. ,Hello. please send me a Mpesa mini statement of this number. 0708122168. To this email. mathewmarungu14@gmail. com , , , , , 
 Be using My Safaricom App for better experience. ,"hi. Kindly reverse transaction code LK16YGEWRI,ksh 327.This was payment for service not rendered. Thank ", , , , , , 
" Hi,we have been in touch on call and advised ","hi my no is 0706693113, I've been trying to get an Mshwari loan for some time now but I'm stillnot able to get.Please help. ", , , , , , 
 I have already been assisted ,Share a reachable contact number we call and assist. , , , , , , 
" We are intolerant to abusive and indecent language. Please report your complaint using acceptable language.Regards, Arti. ",(Chairman) CELLULAR MURDABAAD HO HO AMEEN , , , , , , 
 They are being worked through by customer services. , are you going to start responding to some of your backlog of written complaints soon? ,"Our website is currently unavailable, we are working to resolve this issue. Apologies for any inconvenience caused. ", , , , , 
 Thank you so much! ," Hi There, title correction done. Please check your mailbox for the revised itinerary. Thank you. ",i DMed you my problem and im hoping that you could help. Thank you so much and have a good day ahead! , , , , , 
 It's 12 months from the date you received the reward. , Thank you. Does my companion reward have an expiry date (thinking of future flights) , You can only use your miles on full flight rewards and not upgrades with our partners I'm afraid. ,Hi can I use my miles to pay for upgrades on Cathay? , , , , 
" pls'm having issues with download my, 4 instance like video, its displaying unable to connect using current security settings ", Hello kindly assist with the stated complaint. Thank you. , à¤²à¥‹à¤•à¥‡à¤¶à¤¨ à¤¨à¤¿à¤à¤¿à¤¯à¤¾ à¤¬à¥‡à¤²à¤¹à¤° à¤¬à¤¾à¤‚à¤•à¤¾ à¤¬à¤¿à¤¹à¤¾à¤° , Hello kindly assist Abhishe05446160 with the stated complaint. Thank you.^TM ,2G à¤šà¤²à¤¾à¤¤à¥‡-à¤šà¤²à¤¾à¤¤à¥‡ à¤¬à¥‹à¤° à¤¹à¥‹ à¤—à¤ à¤¹à¥ˆà¤‚ 4G à¤•à¤¬ à¤†à¤à¤—à¤¾ à¤à¥‡à¤°à¥‡ à¤—à¤¾à¤‚à¤µ à¤à¥‡à¤‚ , , , 
 à¤²à¥‹à¤•à¥‡à¤¶à¤¨ à¤¨à¤¿à¤à¤¿à¤¯à¤¾ à¤¬à¥‡à¤²à¤¹à¤° à¤¬à¤¾à¤‚à¤•à¤¾ à¤¬à¤¿à¤¹à¤¾à¤° à¤ªà¤¿à¤¨ à¤•à¥‹à¤¡ 81 3207 ,2G à¤šà¤²à¤¾à¤¤à¥‡-à¤šà¤²à¤¾à¤¤à¥‡ à¤¬à¥‹à¤° à¤¹à¥‹ à¤—à¤ à¤¹à¥ˆà¤‚ 4G à¤•à¤¬ à¤†à¤à¤—à¤¾ à¤à¥‡à¤°à¥‡ à¤—à¤¾à¤‚à¤µ à¤à¥‡à¤‚ , , , , , , 
 Hello we acknowledge your complaint. Please be patient while we resolve the issue. Thank you. , It hasn't been resolved , Hello your complaint has been acknowledged and is being worked on. Please be patient. Thank you. ," The issue haven't been resolved, please do something ", Hello we acknowledge your complaint. Please be patient while we resolve the issue. Thank you. , Will it take you people a day to respond to my tweet ðŸ˜¡ ,"Good Morning I've data but my Facebook isn't connecting, please help me ", 
 Thanks , Hello please be informed that the requested service has been deactivated. All inconveniences regretted. Thank you. ,Thanks for using 1 subscription service from have been charged NGN 10.0. Can I unsubscribe? 08028350299 , , , , , 
" Hi Tony, As requested earlier, please share the requested deails to review and assist further. ", I've talked to several people already including folks from Dell financial. I'm done playing games. I want someone with authority that can and will take back my account from collections and set it back as per agreement ," Hi Tony, We are willing to assist you and see what best can be done here. Please DM the below details to review further and share our finance team's contact details. Dell Order Number / service tag, registered owner name, email address and region of purchase. ", I want my account taken from collections and back to Dell and continue taking payments as before. If this does not happen I will intensify my social media postings. People have to know the risks on one's credit when dealing with Dell. , I've talked to several people at Dell and all I get is the run around. So I'm going continue to post what Dell did until this matter is resolved correctly. Furthermore I will increase how many times I post what happened and I'll begin making YouTube videos showing what Dell did. , Greetings! We're awaiting the requested information to assist you further. Please DM us the details. ,"buyer beware!!! I bought a computer through Dell and was paying direct deposit. They stopped taking payments without warning or reason and referred me straight to collections without any notification, reason or warning. If you value your credit don't make the mistake I made ", 
" Sure my name is Anthony D Sabine, I bought an Alienware X51, my address is 315 king street west apt2 saint john NB E2M1S8. With that you should find the info you need. However with my experience trying to resolve this before I'm not confident anything will be done "," Hi Tony, As requested earlier, please share the requested deails to review and assist further. ", I've talked to several people already including folks from Dell financial. I'm done playing games. I want someone with authority that can and will take back my account from collections and set it back as per agreement ," Hi Tony, We are willing to assist you and see what best can be done here. Please DM the below details to review further and share our finance team's contact details. Dell Order Number / service tag, registered owner name, email address and region of purchase. ", I want my account taken from collections and back to Dell and continue taking payments as before. If this does not happen I will intensify my social media postings. People have to know the risks on one's credit when dealing with Dell. , I've talked to several people at Dell and all I get is the run around. So I'm going continue to post what Dell did until this matter is resolved correctly. Furthermore I will increase how many times I post what happened and I'll begin making YouTube videos showing what Dell did. , Greetings! We're awaiting the requested information to assist you further. Please DM us the details. ,"buyer beware!!! I bought a computer through Dell and was paying direct deposit. They stopped taking payments without warning or reason and referred me straight to collections without any notification, reason or warning. If you value your credit don't make the mistake I made "
" Hi Brett, I have called the five closest stores and I'm afraid none of them have a travel money bureau. Smaira ",which of yours stores closest to Caerphilly CF83 has Travel Money Bureaus? , , , , , , 
 Sent! Thank you! ," Hi, can you DM us the phone number on your account so we can look into this for you? ",the app wonâ€t let me upload my profile picture. Any advice? , , , , , 
 I second this. Sarah Farley from cafe has sexual relations with her employees for fucks sake ,yâ€all need to stop hiring these immature GMs. , , , , , , 
 do you have (please do not release any personal identifiable information)?^In ,received a denied charge message from comfort inn had already checked out and had receipt , , , , , , 
